wort,hitler,trump,biden,bush,obama
goodness,1,11,3,3,5
got,20,2264,307,52,191
governing,10,3,2,5,3
government,152,182,118,235,272
grace,3,3,13,5,47
grade,8,3,15,9,4
gradually,93,1,1,2,3
grand,4,33,18,3,1
grandchild,1,8,12,9,15
grant,8,24,22,16,11
granted,14,5,15,6,9
grateful,8,8,15,21,21
gratitude,4,9,4,7,9
grave,29,6,1,9,3
great,366,3081,125,179,139
greater,69,60,20,46,49
greatest,54,503,26,20,34
greatness,40,31,2,7,6
green,1,110,11,3,5
grew,22,13,29,4,11
grief,1,3,5,7,9
ground,70,51,65,17,39
group,101,250,42,49,41
grow,17,12,40,22,63
growing,16,22,35,29,66
grown,17,2,5,4,11
grows,7,1,3,6,11
growth,18,18,41,31,75
guarantee,36,33,18,7,13
guaranteed,15,9,2,1,3
guard,23,44,13,28,7
guest,4,3,8,14,8
guidance,3,1,4,2,1
guided,4,2,2,8,8
guiding,13,1,4,2,1
gulf,7,2,10,24,19
half,28,298,87,29,55
hall,69,13,9,10,18
halt,2,7,2,1,2
hand,230,108,33,22,63
handful,6,2,1,2,7
happen,36,719,73,18,65
happened,42,841,79,15,36
happening,14,408,44,6,16
happens,25,223,18,3,25
happiness,8,3,3,1,11
happy,16,168,9,5,8
hard,38,298,98,67,158
harden,2,2,1,1,1
harder,3,60,13,4,40
hardest,3,14,8,6,6
hardship,7,1,4,3,21
hardworking,2,78,14,11,22
harm,8,16,21,16,18
hate,12,171,24,4,13
hatred,35,16,3,19,10
head,40,150,29,7,22
headed,2,23,9,3,2
headquarters,4,2,3,2,1
heal,1,5,9,1,3
healing,1,1,1,2,2
health,18,47,119,134,252
healthy,29,10,3,8,19
hear,8,320,59,16,45
heard,20,366,66,9,39
hearing,5,69,29,3,13
heart,83,76,43,33,53
heat,3,19,11,2,5
heaven,22,34,1,3,4
heavy,11,14,11,4,6
heir,2,2,1,2,3
held,69,41,19,15,29
hell,4,663,56,14,1
help,67,235,287,226,270
helped,20,65,50,25,48
helping,6,17,51,35,48
hero,28,85,23,6,13
heroic,37,2,4,3,7
hesitate,4,3,2,2,7
hesitation,8,1,1,1,1
hidden,9,5,4,5,5
hide,2,9,11,11,2
high,53,174,117,36,68
higher,95,108,52,20,72
highest,54,165,27,12,25
highly,18,70,13,5,5
highway,1,10,47,3,9
hill,1,13,8,3,8
hire,1,38,9,6,33
historic,2,68,48,23,14
historical,36,1,9,2,3
history,142,1063,158,87,148
hit,8,210,45,5,25
hold,83,91,47,25,65
holding,26,15,1,6,11
holy,3,3,5,5,13
home,95,316,296,97,212
homeland,2,7,14,51,16
honest,39,118,15,7,24
honestly,6,54,3,1,8
honesty,13,5,4,1,4
hope,55,211,86,121,138
hopeful,1,1,5,26,29
hoping,5,3,2,2,5
horizon,7,1,5,2,8
horror,12,33,3,13,5
horse,8,7,1,4,2
hospital,12,33,56,16,19
hospitality,3,1,3,2,2
host,5,3,3,3,3
hostile,22,17,2,5,4
hot,1,30,1,1,3
hotel,2,28,8,1,1
hour,73,146,110,22,27
house,42,395,117,56,88
housing,2,14,30,15,27
houston,1,15,3,4,1
however,114,17,5,16,8
huge,9,15,7,12,24
human,209,84,92,109,114
humanitarian,3,7,15,4,5
humanity,41,6,9,13,17
hundred,109,397,45,18,41
hungry,4,3,3,2,5
hunting,2,7,2,5,1
hurt,1,101,13,3,17
husband,5,49,30,8,5
idea,294,194,70,17,181
identified,3,4,4,1,4
identify,5,6,5,4,2
identity,3,6,2,2,7
ignore,5,3,3,6,12
ignored,15,2,6,1,4
ii,6,11,20,4,15
ill,7,65,1,6,30
illegal,3,343,6,27,13
illusion,14,1,1,4,3
image,9,9,5,10,6
imagine,26,188,30,4,18
immediate,13,5,19,15,7
immediately,37,221,18,11,4
immigrant,1,26,5,30,55
impact,1,28,70,4,22
impartial,6,3,1,3,1
imperative,5,1,9,1,9
imperfect,1,1,1,1,3
implement,1,10,11,4,2
importance,132,4,7,7,2
important,99,317,107,80,110
impose,10,24,10,8,8
imposed,13,6,6,2,5
imposing,7,3,3,2,2
impossible,79,39,3,7,5
improve,8,1,15,29,33
include,7,13,13,7,5
included,7,19,7,3,3
includes,6,35,31,10,20
including,9,207,150,34,60
inclusion,1,3,1,1,1
income,1,19,52,24,44
increase,56,91,100,40,38
increased,41,11,15,3,20
increasing,33,10,35,17,8
incredible,20,664,44,4,17
indeed,97,22,3,1,13
indefinitely,7,1,2,1,2
independence,39,53,16,10,14
independent,29,83,25,10,24
india,11,29,15,7,9
indian,3,21,15,4,1
individual,284,40,26,22,65
industrial,14,9,6,1,2
industry,17,108,31,12,84
inevitable,20,2,2,3,6
infected,7,5,5,5,2
infection,7,1,3,4,1
inflation,3,236,32,3,2
inflict,1,2,2,3,1
influence,103,3,4,8,17
information,17,46,13,28,33
informed,14,5,5,1,6
inherited,2,3,5,1,6
initiative,8,7,36,27,25
injured,3,29,11,1,1
injury,2,1,6,3,1
injustice,5,18,5,1,7
innocent,8,75,20,29,31
innovation,3,1,6,9,55
inside,2,22,8,5,8
insist,5,3,1,3,21
inspired,29,6,3,5,15
instance,39,10,1,1,4
instead,50,167,45,32,61
institute,2,20,6,6,4
institution,99,85,27,40,37
instructed,4,3,5,2,2
instruction,23,2,1,3,4
intellectual,116,2,1,1,3
intelligence,40,33,11,47,15
intend,4,3,5,7,20
intended,13,1,4,1,3
intense,2,1,7,2,1
intention,46,5,7,11,7
interest,215,82,45,32,104
interested,12,17,2,3,9
interesting,4,119,4,3,2
interference,3,44,3,2,1
international,72,2,50,32,61
intimidation,6,5,5,1,2
introduced,23,12,12,1,2
introduction,5,3,10,5,3
invest,1,6,75,11,61
invested,7,9,32,1,5
investigation,3,69,4,3,1
investing,1,2,46,2,14
invite,1,6,2,9,2
invited,3,7,4,4,2
involved,10,71,13,9,18
involves,1,1,1,5,2
iron,16,18,4,1,9
irresponsible,5,1,2,1,5
island,1,20,10,2,11
isolated,8,1,1,6,11
israel,1,123,24,17,122
issue,19,90,90,59,159
issued,2,12,9,4,3
item,2,8,5,2,1
january,8,74,26,6,9
japan,12,34,7,16,5
japanese,13,4,1,1,2
jew,325,1,4,2,16
jewish,142,4,5,1,24
job,17,1209,424,140,518
join,31,23,19,36,37
joined,18,51,14,21,20
joining,5,18,19,5,4
joint,1,3,14,3,5
journalist,4,4,6,4,1
journey,2,17,12,11,34
joy,10,6,2,3,6
judge,16,157,32,10,25
judged,15,3,1,1,4
judgment,26,1,13,1,10
justice,32,172,81,50,69
justify,6,3,3,2,6
keep,40,377,203,55,176
keeping,13,35,32,17,18
kept,26,128,16,8,22
key,5,20,41,18,13
kill,1,152,4,18,22
killed,5,183,35,15,33
kind,182,126,53,22,81
king,8,20,27,4,19
knew,36,242,31,9,28
knock,3,40,5,1,2
knocked,1,37,5,1,1
know,119,3715,616,209,473
knowing,9,14,19,3,26
knowledge,97,10,7,9,10
known,25,89,43,18,48
lack,99,9,3,7,15
laid,35,41,20,2,20
land,21,115,32,29,40
landed,1,5,3,1,5
language,63,31,4,4,2
large,61,88,27,21,18
largely,6,14,2,5,2
larger,23,21,10,11,17
largest,8,149,64,9,36
last,139,569,239,88,228
lasting,7,3,2,7,28
late,15,49,22,11,9
later,110,120,32,9,28
latest,3,12,4,3,3
latin,3,3,4,5,1
launch,3,5,16,4,16
launched,5,22,8,6,15
law,92,418,223,127,176
lawyer,2,111,13,3,4
lay,49,10,11,9,27
le,128,148,77,21,87
lead,81,74,76,73,106
leader,166,190,137,84,134
leadership,34,99,53,33,82
leading,24,209,70,22,16
leaf,10,8,8,2,4
league,38,5,4,1,5
learn,29,28,14,21,25
learned,46,35,23,16,28
learning,19,3,12,13,13
least,130,106,44,18,33
leave,35,189,59,27,45
leaving,14,92,22,9,8
led,66,38,50,13,50
left,90,790,68,42,40
leg,1,30,3,2,5
legal,5,86,9,24,16
legally,1,35,3,2,6
legislation,7,27,55,37,28
legislative,8,1,3,4,5
legitimate,2,10,12,2,20
length,4,3,3,1,3
lesson,32,8,3,13,19
let,45,1233,287,50,323
letter,12,27,15,8,24
level,73,239,32,25,38
liberty,31,87,19,100,33
library,1,2,1,1,3
lie,73,103,32,14,20
life,313,417,223,236,257
lifetime,2,20,7,3,11
lift,5,45,17,12,21
lifted,1,37,1,3,12
lifting,2,6,1,4,4
light,54,75,18,13,22
like,113,3082,377,111,362
likely,10,6,24,8,15
limb,3,1,1,1,4
limit,22,3,47,15,20
limited,29,2,4,1,6
line,75,92,124,32,63
link,2,3,2,2,3
list,5,77,9,3,5
listen,9,110,10,10,17
listened,6,28,2,2,1
listening,1,19,3,6,12
little,121,644,113,21,60
live,45,114,64,59,103
lived,22,21,26,6,17
living,37,55,48,19,54
load,1,9,1,1,3
loan,3,18,10,18,37
local,14,89,37,51,32
lock,1,22,3,1,4
long,185,481,174,72,155
longer,102,212,44,25,50
longstanding,1,1,6,1,3
look,73,1340,414,46,131
looked,88,158,28,4,11
looking,13,290,67,8,47
lose,20,243,23,7,47
losing,14,101,28,8,17
loss,25,25,32,11,15
lost,71,301,84,32,72
lot,23,1638,307,45,117
love,41,943,51,27,81
loved,6,60,32,13,23
loving,1,5,1,3,2
low,13,125,32,10,12
lower,36,62,67,9,37
lowered,4,9,2,2,1
lowering,2,2,10,1,4
lowest,8,68,11,1,10
loyal,12,33,2,1,2
loyalty,12,14,2,1,4
luther,1,5,5,1,6
lying,13,20,5,1,3
mad,2,4,4,3,1
made,288,798,237,78,212
main,28,37,5,6,10
maintain,33,15,16,3,15
major,3,66,106,26,21
majority,80,45,50,12,30
make,257,1109,538,228,567
maker,1,4,3,1,2
making,61,144,222,50,129
man,264,539,66,35,71
manage,2,8,6,1,8
managed,6,1,4,1,2
management,8,10,11,8,3
mandate,2,92,13,5,3
manner,66,7,1,3,5
manufacturer,1,23,12,1,13
manufacturing,1,51,23,2,34
many,190,1385,275,188,277
march,25,5,19,8,20
mark,15,111,12,3,13
marked,7,1,3,4,2
market,7,101,39,66,101
marriage,19,2,6,19,11
martin,2,5,8,3,14
mass,287,45,7,52,22
master,59,11,4,2,4
mate,9,1,2,2,1
material,63,28,16,19,16
matter,168,138,120,25,84
max,2,25,1,2,4
may,411,186,132,66,164
maybe,2,324,41,3,26
mayor,2,71,46,9,20
mean,301,719,312,45,149
meaning,44,33,6,6,12
meant,58,74,19,5,19
meantime,2,14,22,1,5
meanwhile,8,12,2,1,19
measure,102,15,37,24,35
medal,1,11,11,1,1
medical,5,43,24,52,28
medicine,1,26,12,31,9
medium,8,265,8,3,9
meet,23,77,64,60,106
meeting,211,58,53,16,30
member,172,114,115,95,85
memorial,2,6,13,3,3
memory,35,12,12,4,19
men,279,131,53,112,122
mental,41,79,23,1,8
mentioned,30,35,12,3,6
mercy,4,3,6,9,2
merely,108,5,1,2,7
mess,1,85,4,2,4
message,8,29,34,28,28
met,12,78,58,26,35
method,67,3,1,14,1
mexico,1,348,5,8,7
middle,21,162,122,100,107
midst,9,2,8,3,12
might,213,93,32,22,73
military,132,530,108,108,101
million,87,1036,335,111,201
mind,153,91,35,14,39
mine,5,142,19,1,8
minimum,3,25,21,1,28
minister,11,28,22,13,11
minority,7,2,15,11,16
minute,19,169,20,8,9
miracle,8,29,1,3,1
miss,1,18,5,4,1
missed,3,19,4,1,2
missing,2,18,6,2,1
mission,39,32,51,48,54
mistake,46,59,13,17,24
misunderstanding,3,9,3,1,1
mix,4,3,2,1,4
moderate,5,4,7,4,2
modern,27,13,13,11,7
moment,132,55,110,44,65
momentum,1,8,5,9,12
money,27,636,101,59,95
month,24,457,239,54,132
moral,83,3,12,29,22
morning,22,129,35,21,11
mostly,20,39,5,2,5
mother,25,45,34,17,37
motion,5,5,3,1,1
mountain,2,17,7,4,8
move,13,97,108,35,84
moved,16,55,40,5,15
movement,558,231,18,17,19
much,166,1776,249,73,179
murderer,1,43,2,4,5
must,698,312,87,293,340
name,58,326,44,10,14
named,2,83,16,8,12
nation,576,951,347,405,397
national,484,140,93,78,68
native,16,3,20,1,10
natural,76,32,9,9,24
nature,141,7,12,13,14
naval,12,1,2,2,1
navy,9,8,2,6,3
near,7,43,22,6,9
nearly,26,71,83,40,82
necessary,232,33,23,39,46
necessity,56,1,3,1,8
need,84,515,389,180,365
needed,26,68,47,24,26
needle,1,5,2,7,2
negative,16,19,7,1,3
negotiate,1,29,26,1,6
negotiation,5,27,15,3,19
nervous,5,4,1,1,1
nest,1,15,1,4,2
net,3,6,10,2,7
never,273,2218,187,77,151
new,362,934,380,315,507
newly,7,2,2,3,1
news,9,417,39,11,27
newspaper,43,23,2,1,3
next,23,325,140,53,182
night,19,223,41,18,32
nightmare,1,34,2,2,1
nine,5,99,13,5,10
noble,11,9,2,15,3
nobody,52,931,19,3,15
none,16,85,35,7,28
normal,6,29,6,7,1
north,14,243,13,16,40
note,6,3,8,2,4
nothing,149,482,76,20,56
notice,14,64,9,6,2
noticed,5,21,7,1,4
november,41,187,7,4,4
number,125,1089,201,41,62
nurse,1,6,19,5,9
oath,1,11,9,6,12
objective,53,2,6,10,9
obligation,29,4,40,11,32
obstacle,18,3,5,2,5
obviously,10,23,4,7,11
occasion,46,13,4,1,5
occupy,6,2,3,1,3
occur,3,4,7,2,1
occurred,6,2,13,2,1
offensive,24,8,2,12,6
offer,28,10,16,31,52
offering,6,1,2,4,10
office,30,309,98,29,89
officer,21,68,71,17,17
official,79,48,33,30,20
often,136,38,24,18,52
oh,2,634,28,4,2
old,175,143,65,15,61
older,7,9,17,7,3
one,868,2834,735,228,531
onto,1,38,9,2,6
open,50,240,59,27,77
opened,14,50,7,6,15
opening,4,27,8,4,8
openly,28,14,2,2,5
operate,4,3,7,5,7
operation,13,43,39,38,12
opinion,136,77,5,4,16
opportunity,31,31,85,64,154
oppose,23,13,5,13,6
opposed,40,28,5,9,7
opposing,7,25,1,1,1
opposite,20,77,5,2,4
opposition,38,11,4,2,13
oppression,21,3,5,9,5
order,211,196,51,34,44
ordered,9,6,11,5,14
orderly,2,1,1,5,2
organization,1,35,33,22,21
organized,1,6,6,2,6
others,104,169,69,50,73
otherwise,47,35,3,3,6
ought,98,18,5,3,6
outcome,27,6,7,11,20
outline,5,2,2,5,2
outrage,6,1,1,2,2
outside,38,122,23,9,14
outstanding,16,26,7,1,15
overcome,35,2,4,12,14
overnight,1,3,3,5,10
overwhelming,10,9,13,1,13
owe,10,8,37,11,10
owes,13,2,4,2,1
owned,1,8,4,1,3
owner,1,16,2,7,31
ownership,2,2,2,9,3
pace,4,3,18,3,18
pacific,1,6,7,2,6
page,4,27,8,2,10
paid,19,155,83,7,45
pain,9,15,24,5,20
painful,1,8,8,3,12
paper,33,108,5,1,6
parade,6,6,1,1,2
parent,15,105,123,29,72
paris,9,15,11,2,2
parliament,54,4,1,7,5
part,221,162,149,62,179
participate,11,5,2,5,10
participation,3,1,2,7,6
particular,59,57,10,5,17
particularly,47,7,30,6,22
partisan,2,15,12,6,18
partner,4,7,75,20,51
party,401,321,37,41,120
pas,14,68,83,43,68
passage,3,1,5,3,1
passed,39,93,87,45,52
passing,10,8,14,12,13
passion,11,9,6,1,23
past,85,64,90,39,120
pastor,3,11,1,2,4
path,12,15,34,48,57
patient,4,36,27,18,15
patriot,8,247,12,7,8
patriotism,13,3,2,1,11
patrol,2,92,4,28,6
paul,1,39,6,4,5
pay,28,342,210,39,133
paying,4,144,91,4,37
peace,67,104,32,138,155
peaceful,16,8,7,26,35
peacefully,4,8,4,3,9
penalty,4,104,6,8,8
penny,6,64,36,1,5
pension,4,17,3,6,7
people,985,4772,1015,503,947
per,11,23,40,4,9
percent,1,50,8,31,99
perfect,5,101,8,5,24
performed,7,1,2,1,2
performing,5,1,1,6,2
perhaps,27,85,4,2,18
peril,7,2,2,7,10
period,79,150,27,15,19
permanent,16,8,7,17,11
permanently,11,6,4,7,2
permit,11,2,1,7,4
persecution,10,39,1,2,4
perseverance,11,1,1,2,2
person,124,411,55,24,34
personal,66,21,32,18,12
personally,20,21,12,3,6
phase,13,8,3,6,2
phrase,18,34,11,1,1
physical,62,14,21,5,2
physically,16,14,5,1,1
picked,1,27,3,1,3
picture,36,53,6,6,7
piece,30,62,58,10,9
pilot,1,31,2,2,3
place,210,621,145,80,178
placed,28,4,4,6,6
placing,7,1,3,2,1
plain,2,9,3,2,6
plan,44,91,252,93,175
plane,9,144,12,5,8
planet,8,12,10,2,25
planned,4,6,6,5,5
plant,2,74,9,4,22
platform,6,16,1,1,2
play,46,130,19,3,39
played,24,22,6,2,6
player,1,27,6,4,2
playing,10,36,10,8,12
please,3,335,56,11,18
pleased,12,12,15,10,6
pledge,4,14,15,17,14
plenty,3,47,5,1,7
plot,1,4,3,8,9
pocket,3,5,16,1,20
point,138,361,124,32,78
poison,31,4,3,2,5
police,23,298,65,27,20
policy,292,232,42,51,68
political,423,300,35,39,72
politician,32,207,4,5,12
politics,51,80,20,9,93
poll,1,554,12,4,9
poor,28,47,16,13,25
popular,31,72,8,6,7
population,78,23,15,8,7
port,2,8,59,4,3
portion,18,24,9,5,4
pose,3,3,5,3,12
position,155,63,55,13,22
positive,25,34,11,2,7
posse,45,1,3,5,4
possibility,51,8,25,7,10
possible,227,157,52,29,74
possibly,14,23,5,5,2
post,13,61,8,3,5
potential,1,32,22,24,34
poverty,9,19,20,20,55
power,296,219,157,102,160
powerful,19,173,19,9,27
practical,111,1,3,7,14
practice,58,6,15,12,17
praise,10,3,4,2,5
pray,5,16,9,6,8
prayer,4,14,5,12,10
preach,1,2,1,1,1
precious,8,12,3,3,10
pregnancy,1,1,2,1,5
prejudice,12,1,4,1,3
prepare,14,3,19,11,10
prepared,26,13,27,15,19
preparing,11,2,5,5,5
prescription,2,8,43,24,16
presence,12,1,5,4,5
present,191,5,14,5,10
preserve,36,10,9,7,7
preserving,12,4,4,1,2
president,7,1400,339,153,268
press,100,183,38,10,11
pressure,10,18,22,16,18
pretend,10,19,1,1,5
pretending,2,2,1,1,1
pretty,1,196,12,6,24
prevail,16,6,2,9,1
prevent,47,38,36,30,52
prevented,11,1,3,5,5
preventing,6,3,3,8,7
prevention,2,4,7,5,1
previous,10,17,16,2,11
price,3,245,132,17,28
pride,18,22,27,7,17
primarily,10,4,2,1,2
primary,15,135,8,9,1
prime,1,48,18,12,9
principal,17,6,3,6,8
principle,267,21,23,40,59
prior,1,40,7,3,1
priority,2,24,12,25,31
prison,5,147,7,15,11
prisoner,1,30,2,10,5
private,17,59,57,26,43
privilege,10,15,8,8,8
probably,31,415,18,4,16
problem,190,574,62,63,120
proceed,3,5,1,3,4
process,92,58,58,17,54
produce,26,9,18,15,17
produced,24,26,4,5,6
producing,8,7,6,5,1
product,43,59,42,9,35
production,22,29,23,9,11
productive,11,3,12,3,7
profession,20,1,2,2,3
professional,12,26,15,8,11
profit,6,2,19,4,20
profound,53,5,22,4,14
progress,59,15,114,67,128
progressive,10,5,8,1,4
prohibition,2,1,1,1,1
project,8,14,28,10,31
promise,14,92,86,46,116
promised,6,31,19,8,17
promising,3,12,5,7,4
promote,18,6,9,16,23
promoting,8,2,4,7,7
promotion,4,1,2,1,6
pronounced,9,1,1,1,2
proof,42,18,8,1,7
propaganda,166,5,2,1,3
proper,12,11,1,2,2
properly,11,35,3,2,3
property,12,17,8,7,1
proportion,16,4,3,1,3
proposal,9,1,25,15,52
propose,1,1,10,26,7
proposed,5,5,20,9,20
prospect,23,1,4,8,13
prosperity,11,17,7,26,70
protect,15,209,145,63,81
protected,17,26,21,10,12
protecting,3,40,27,15,13
protection,31,49,40,12,22
protective,5,5,2,1,1
protects,3,4,5,4,5
protest,27,26,2,1,12
proud,12,255,51,46,40
prove,45,26,7,2,9
proved,63,9,1,2,7
provide,20,20,99,53,67
provided,23,4,29,10,11
provides,8,2,9,9,7
providing,10,4,36,27,23
province,17,2,1,10,1
provision,6,6,4,4,10
public,245,83,101,37,65
publicly,8,10,3,2,7
pull,2,18,15,1,15
pulled,3,25,5,6,6
pump,2,20,12,1,2
purchase,2,12,5,7,5
purchasing,1,1,2,2,1
purpose,193,27,16,31,40
pursue,12,7,8,20,49
pursued,14,1,3,4,4
pursuing,4,4,2,13,7
pursuit,4,1,5,7,21
push,9,16,12,1,17
pushing,4,57,9,1,20
put,132,835,144,36,159
putting,23,81,30,7,24
qualified,6,17,8,2,2
quality,82,13,29,10,25
quarter,34,26,17,2,11
question,243,230,100,44,107
quick,3,65,7,3,6
quickly,29,209,36,20,18
quiet,5,10,2,8,10
quit,1,16,2,1,5
quite,125,69,23,1,2
quote,2,33,49,6,2
race,219,179,26,5,64
racial,132,23,8,2,13
radical,18,494,3,14,3
rage,10,7,2,2,2
raging,3,12,4,3,2
raid,1,15,2,7,1
rail,1,1,47,4,6
raise,24,88,77,14,61
raised,28,46,22,6,15
raising,4,13,28,10,13
rallied,2,1,4,6,3
rally,7,155,4,3,7
ran,3,145,39,2,20
range,1,1,32,4,9
rank,47,7,16,2,2
rapid,8,29,9,2,3
rapidly,16,31,17,1,8
rare,16,3,9,2,2
rate,3,112,97,14,67
rather,194,59,19,5,34
ray,4,2,2,2,1
rd,2,48,9,1,1
reach,34,15,40,26,75
reached,38,26,15,7,10
reaching,7,4,3,2,16
read,53,104,27,14,17
readiness,15,1,1,1,1
reading,24,31,3,13,8
ready,64,109,40,14,18
real,123,232,124,17,55
realistic,3,1,4,2,3
reality,73,3,14,10,18
really,97,1110,153,13,34
reason,230,317,104,18,74
reasonable,7,7,2,4,5
recall,10,1,4,1,5
receive,12,11,13,17,21
received,51,37,14,13,12
receiving,3,6,4,3,1
recent,6,39,17,16,19
recently,5,65,14,10,14
recommendation,2,6,4,10,2
recommended,7,1,5,2,1
reconciliation,1,5,5,7,6
record,3,457,74,19,25
recover,3,6,16,6,15
recovered,3,5,1,1,5
recovery,6,7,53,14,47
recruit,16,2,1,7,7
red,50,60,24,6,16
reduce,2,17,64,21,53
reduced,7,14,14,3,8
reducing,3,9,19,7,16
reform,17,54,10,109,191
refuse,12,47,9,5,21
refused,15,29,8,4,8
regain,4,2,2,2,2
regard,105,10,15,2,5
regardless,6,5,6,2,16
regime,37,10,1,111,30
region,13,9,32,62,81
regional,3,1,6,4,9
register,2,12,4,1,1
regulation,4,133,1,9,26
reign,5,19,2,1,1
reinforcement,4,2,1,4,2
reject,9,11,5,9,26
rejected,12,28,4,1,11
related,1,10,8,2,3
relation,42,7,7,5,17
relationship,6,93,11,5,21
relative,4,8,16,3,2
release,2,101,10,6,6
relentless,1,3,3,3,7
reliable,4,2,2,7,2
reliance,1,11,2,1,1
relief,6,13,17,51,12
religion,37,20,4,7,31
religious,84,51,6,21,14
rely,1,10,4,2,9
remain,64,89,22,18,38
remained,52,2,3,1,2
remaining,5,7,7,4,3
remains,28,14,15,16,29
remark,12,3,5,2,9
remarkable,5,1,3,1,9
remember,27,691,103,22,42
remembered,15,7,3,4,4
remind,6,3,13,11,17
reminded,3,3,6,4,13
removal,4,10,1,2,1
remove,6,18,5,6,12
removing,7,8,3,3,4
renewed,5,2,4,8,8
rent,1,4,7,2,1
repair,5,4,11,2,9
repeat,10,19,8,2,15
repeatedly,5,13,6,1,4
replace,6,12,6,7,14
report,10,118,33,24,14
reported,3,45,10,3,2
reporter,1,20,5,2,1
represent,15,22,8,9,12
representative,75,58,30,18,22
represented,26,24,7,4,6
representing,8,23,9,1,1
represents,22,11,6,3,9
repression,2,2,2,6,8
republic,52,31,6,5,6
republican,8,613,140,17,168
request,3,22,10,5,5
require,4,17,40,30,44
required,9,11,18,13,18
requirement,3,7,73,3,2
requires,3,4,13,36,29
rescue,2,23,61,13,7
rescued,2,2,1,4,4
reserve,11,24,28,6,5
resolute,12,4,2,4,1
resolution,12,1,5,25,12
resolve,4,6,8,32,30
resource,16,23,41,28,43
respect,41,207,49,44,58
respected,4,251,3,4,8
respond,1,1,37,8,19
responded,1,3,3,7,5
response,6,9,44,22,13
responsibility,73,3,30,73,137
responsible,55,21,17,21,37
rest,47,68,69,13,35
restaurant,5,6,16,1,2
restoration,15,2,5,1,4
restore,13,131,24,3,31
restored,10,16,3,1,4
restoring,5,7,6,1,5
restriction,4,9,6,3,2
result,246,97,48,47,39
resulted,27,1,3,1,1
resume,7,5,3,1,2
retail,1,2,1,2,2
retired,4,4,3,3,3
retreat,3,6,2,14,2
return,21,32,24,41,25
returned,15,10,2,6,3
returning,2,19,1,4,3
revenue,1,9,7,6,12
reverse,12,17,1,2,12
review,2,12,9,10,8
reviewed,1,2,2,4,1
revolution,122,6,2,5,25
rhetoric,2,2,1,3,3
rich,5,92,3,2,17
rid,4,154,8,5,7
right,222,2483,436,125,520
rigorous,4,3,4,3,5
rise,35,7,18,24,22
rising,7,22,28,14,27
risk,27,17,85,23,50
risked,2,5,5,2,1
risking,1,2,3,2,2
river,4,12,12,3,4
road,34,39,94,16,47
robust,8,2,3,1,2
rock,4,17,6,1,5
role,13,13,16,16,37
room,21,201,88,13,21
root,19,9,3,7,13
rose,1,6,3,10,3
roughly,2,1,9,2,5
round,20,12,3,2,9
route,9,14,5,2,3
row,3,54,2,1,2
ruin,27,27,4,7,6
rule,32,74,44,27,100
run,43,402,27,25,33
running,3,305,34,12,13
rural,1,3,14,2,16
rushed,3,3,1,1,3
russia,60,693,73,6,16
russian,24,40,32,1,7
s,3,1,13,15,10
sacred,34,24,33,3,14
sacrifice,84,8,8,29,34
sacrificed,17,2,8,2,7
sacrificing,4,8,1,2,2
sadly,2,23,5,1,4
safe,4,152,76,32,47
safeguard,17,3,4,5,7
safely,4,9,13,2,10
safer,1,19,25,21,18
safety,3,48,40,19,29
said,73,4010,391,56,170
sailor,1,1,1,2,1
sake,31,27,11,5,11
sanction,4,25,26,7,22
save,19,191,64,37,55
saved,16,135,7,9,17
saving,8,42,38,26,37
saw,38,363,54,29,40
say,115,2625,345,63,177
saying,18,443,80,13,32
scale,30,24,9,7,8
scar,1,3,2,1,1
scattered,2,1,1,1,1
scene,11,11,4,4,8
scholar,1,15,1,3,1
school,77,314,241,105,152
science,20,6,28,34,55
scientific,20,3,10,9,7
scientist,2,14,26,27,23
scope,8,2,2,2,5
score,1,5,5,4,7
sea,9,5,10,3,3
search,5,13,15,15,7
searching,2,2,1,2,2
seat,13,66,8,1,14
second,76,315,102,39,57
secret,33,33,11,7,12
secretary,6,87,70,49,24
secure,23,131,16,40,56
secured,20,5,7,2,4
securing,17,1,1,9,5
security,19,177,88,231,245
see,106,1219,279,90,205
seed,8,5,1,2,3
seeing,22,64,55,9,22
seek,14,21,20,38,54
seeking,5,3,16,7,13
seem,16,22,9,7,18
seemed,84,8,1,3,1
seems,38,25,12,7,12
seen,29,587,80,48,96
seize,2,5,4,6,14
seized,5,2,1,4,3
self,14,3,5,4,3
sell,3,61,11,6,15
selling,2,30,4,3,5
senate,3,129,104,23,36
send,6,234,43,30,44
sending,1,75,7,3,10
sense,86,134,31,15,85
sensitive,2,4,1,1,1
sent,23,124,13,28,35
separate,7,12,6,1,5
september,6,5,24,52,11
series,14,9,5,9,12
serious,42,43,47,23,40
seriously,25,32,9,4,6
serve,81,16,30,46,49
served,25,7,35,9,35
service,113,77,134,54,50
serving,10,5,15,14,12
session,4,4,5,8,6
set,83,178,52,51,107
setback,2,1,1,3,9
setting,8,23,12,3,8
settlement,10,9,2,1,7
seven,19,139,41,16,15
several,45,6,33,8,24
severe,9,6,23,6,4
shadow,3,7,6,6,23
shake,6,11,2,4,7
shall,71,3,7,1,11
shape,20,51,12,6,30
shaped,5,4,2,5,7
share,18,22,83,39,90
shared,3,7,26,9,30
sharp,5,13,1,1,3
shattered,5,14,2,3,1
sheer,22,1,1,1,3
shelter,1,4,15,9,4
shield,4,15,2,7,5
shift,1,8,7,3,16
shining,2,2,3,1,1
ship,6,56,14,5,13
shooting,3,34,4,1,10
