Wort,Trump,Hitler,Biden,Bush,Obama
gone,252,17,51,13,26
good,1722,118,265,160,236
goodness,11,1,3,3,5
got,2264,20,307,52,191
governing,3,10,2,5,3
government,182,152,118,235,272
grace,3,3,13,5,47
grade,3,8,15,9,4
gradually,1,93,1,2,3
grand,33,4,18,3,1
grandchild,8,1,12,9,15
grant,24,8,22,16,11
granted,5,14,15,6,9
grateful,8,8,15,21,21
gratitude,9,4,4,7,9
grave,6,29,1,9,3
great,3081,366,125,179,139
greater,60,69,20,46,49
greatest,503,54,26,20,34
greatness,31,40,2,7,6
green,110,1,11,3,5
grew,13,22,29,4,11
grief,3,1,5,7,9
ground,51,70,65,17,39
group,250,101,42,49,41
grow,12,17,40,22,63
growing,22,16,35,29,66
grown,2,17,5,4,11
grows,1,7,3,6,11
growth,18,18,41,31,75
guarantee,33,36,18,7,13
guaranteed,9,15,2,1,3
guard,44,23,13,28,7
guest,3,4,8,14,8
guidance,1,3,4,2,1
guided,2,4,2,8,8
guiding,1,13,4,2,1
gulf,2,7,10,24,19
half,298,28,87,29,55
hall,13,69,9,10,18
halt,7,2,2,1,2
hand,108,230,33,22,63
handful,2,6,1,2,7
happen,719,36,73,18,65
happened,841,42,79,15,36
happening,408,14,44,6,16
happens,223,25,18,3,25
happiness,3,8,3,1,11
happy,168,16,9,5,8
hard,298,38,98,67,158
harden,2,2,1,1,1
harder,60,3,13,4,40
hardest,14,3,8,6,6
hardship,1,7,4,3,21
hardworking,78,2,14,11,22
harm,16,8,21,16,18
hate,171,12,24,4,13
hatred,16,35,3,19,10
head,150,40,29,7,22
headed,23,2,9,3,2
headquarters,2,4,3,2,1
heal,5,1,9,1,3
healing,1,1,1,2,2
health,47,18,119,134,252
healthy,10,29,3,8,19
hear,320,8,59,16,45
heard,366,20,66,9,39
hearing,69,5,29,3,13
heart,76,83,43,33,53
heat,19,3,11,2,5
heaven,34,22,1,3,4
heavy,14,11,11,4,6
heir,2,2,1,2,3
held,41,69,19,15,29
hell,663,4,56,14,1
help,235,67,287,226,270
helped,65,20,50,25,48
helping,17,6,51,35,48
hero,85,28,23,6,13
heroic,2,37,4,3,7
hesitate,3,4,2,2,7
hesitation,1,8,1,1,1
hidden,5,9,4,5,5
hide,9,2,11,11,2
high,174,53,117,36,68
higher,108,95,52,20,72
highest,165,54,27,12,25
highly,70,18,13,5,5
highway,10,1,47,3,9
hill,13,1,8,3,8
hire,38,1,9,6,33
historic,68,2,48,23,14
historical,1,36,9,2,3
history,1063,142,158,87,148
hit,210,8,45,5,25
hold,91,83,47,25,65
holding,15,26,1,6,11
holy,3,3,5,5,13
home,316,95,296,97,212
homeland,7,2,14,51,16
honest,118,39,15,7,24
honestly,54,6,3,1,8
honesty,5,13,4,1,4
hope,211,55,86,121,138
hopeful,1,1,5,26,29
hoping,3,5,2,2,5
horizon,1,7,5,2,8
horror,33,12,3,13,5
horse,7,8,1,4,2
hospital,33,12,56,16,19
hospitality,1,3,3,2,2
host,3,5,3,3,3
hostile,17,22,2,5,4
hot,30,1,1,1,3
hotel,28,2,8,1,1
hour,146,73,110,22,27
house,395,42,117,56,88
housing,14,2,30,15,27
houston,15,1,3,4,1
however,17,114,5,16,8
huge,15,9,7,12,24
human,84,209,92,109,114
humanitarian,7,3,15,4,5
humanity,6,41,9,13,17
hundred,397,109,45,18,41
hungry,3,4,3,2,5
hunting,7,2,2,5,1
hurt,101,1,13,3,17
husband,49,5,30,8,5
idea,194,294,70,17,181
identified,4,3,4,1,4
identify,6,5,5,4,2
identity,6,3,2,2,7
ignore,3,5,3,6,12
ignored,2,15,6,1,4
ii,11,6,20,4,15
ill,65,7,1,6,30
illegal,343,3,6,27,13
illusion,1,14,1,4,3
image,9,9,5,10,6
imagine,188,26,30,4,18
immediate,5,13,19,15,7
immediately,221,37,18,11,4
immigrant,26,1,5,30,55
impact,28,1,70,4,22
impartial,3,6,1,3,1
imperative,1,5,9,1,9
imperfect,1,1,1,1,3
implement,10,1,11,4,2
importance,4,132,7,7,2
important,317,99,107,80,110
impose,24,10,10,8,8
imposed,6,13,6,2,5
imposing,3,7,3,2,2
impossible,39,79,3,7,5
improve,1,8,15,29,33
include,13,7,13,7,5
included,19,7,7,3,3
includes,35,6,31,10,20
including,207,9,150,34,60
inclusion,3,1,1,1,1
income,19,1,52,24,44
increase,91,56,100,40,38
increased,11,41,15,3,20
increasing,10,33,35,17,8
incredible,664,20,44,4,17
indeed,22,97,3,1,13
indefinitely,1,7,2,1,2
independence,53,39,16,10,14
independent,83,29,25,10,24
india,29,11,15,7,9
indian,21,3,15,4,1
individual,40,284,26,22,65
industrial,9,14,6,1,2
industry,108,17,31,12,84
inevitable,2,20,2,3,6
infected,5,7,5,5,2
infection,1,7,3,4,1
inflation,236,3,32,3,2
inflict,2,1,2,3,1
influence,3,103,4,8,17
information,46,17,13,28,33
informed,5,14,5,1,6
inherited,3,2,5,1,6
initiative,7,8,36,27,25
injured,29,3,11,1,1
injury,1,2,6,3,1
injustice,18,5,5,1,7
innocent,75,8,20,29,31
innovation,1,3,6,9,55
inside,22,2,8,5,8
insist,3,5,1,3,21
inspired,6,29,3,5,15
instance,10,39,1,1,4
instead,167,50,45,32,61
institute,20,2,6,6,4
institution,85,99,27,40,37
instructed,3,4,5,2,2
instruction,2,23,1,3,4
intellectual,2,116,1,1,3
intelligence,33,40,11,47,15
intend,3,4,5,7,20
intended,1,13,4,1,3
intense,1,2,7,2,1
intention,5,46,7,11,7
interest,82,215,45,32,104
interested,17,12,2,3,9
interesting,119,4,4,3,2
interference,44,3,3,2,1
international,2,72,50,32,61
intimidation,5,6,5,1,2
introduced,12,23,12,1,2
introduction,3,5,10,5,3
invest,6,1,75,11,61
invested,9,7,32,1,5
investigation,69,3,4,3,1
investing,2,1,46,2,14
invite,6,1,2,9,2
invited,7,3,4,4,2
involved,71,10,13,9,18
involves,1,1,1,5,2
iron,18,16,4,1,9
irresponsible,1,5,2,1,5
island,20,1,10,2,11
isolated,1,8,1,6,11
israel,123,1,24,17,122
issue,90,19,90,59,159
issued,12,2,9,4,3
item,8,2,5,2,1
january,74,8,26,6,9
japan,34,12,7,16,5
japanese,4,13,1,1,2
jew,1,325,4,2,16
jewish,4,142,5,1,24
job,1209,17,424,140,518
join,23,31,19,36,37
joined,51,18,14,21,20
joining,18,5,19,5,4
joint,3,1,14,3,5
journalist,4,4,6,4,1
journey,17,2,12,11,34
joy,6,10,2,3,6
judge,157,16,32,10,25
judged,3,15,1,1,4
judgment,1,26,13,1,10
justice,172,32,81,50,69
justify,3,6,3,2,6
keep,377,40,203,55,176
keeping,35,13,32,17,18
kept,128,26,16,8,22
key,20,5,41,18,13
kill,152,1,4,18,22
killed,183,5,35,15,33
kind,126,182,53,22,81
king,20,8,27,4,19
knew,242,36,31,9,28
knock,40,3,5,1,2
knocked,37,1,5,1,1
know,3715,119,616,209,473
knowing,14,9,19,3,26
knowledge,10,97,7,9,10
known,89,25,43,18,48
lack,9,99,3,7,15
laid,41,35,20,2,20
land,115,21,32,29,40
landed,5,1,3,1,5
language,31,63,4,4,2
large,88,61,27,21,18
largely,14,6,2,5,2
larger,21,23,10,11,17
largest,149,8,64,9,36
last,569,139,239,88,228
lasting,3,7,2,7,28
late,49,15,22,11,9
later,120,110,32,9,28
latest,12,3,4,3,3
latin,3,3,4,5,1
launch,5,3,16,4,16
launched,22,5,8,6,15
law,418,92,223,127,176
lawyer,111,2,13,3,4
lay,10,49,11,9,27
le,148,128,77,21,87
lead,74,81,76,73,106
leader,190,166,137,84,134
leadership,99,34,53,33,82
leading,209,24,70,22,16
leaf,8,10,8,2,4
league,5,38,4,1,5
learn,28,29,14,21,25
learned,35,46,23,16,28
learning,3,19,12,13,13
least,106,130,44,18,33
leave,189,35,59,27,45
leaving,92,14,22,9,8
led,38,66,50,13,50
left,790,90,68,42,40
leg,30,1,3,2,5
legal,86,5,9,24,16
legally,35,1,3,2,6
legislation,27,7,55,37,28
legislative,1,8,3,4,5
legitimate,10,2,12,2,20
length,3,4,3,1,3
lesson,8,32,3,13,19
let,1233,45,287,50,323
letter,27,12,15,8,24
level,239,73,32,25,38
liberty,87,31,19,100,33
library,2,1,1,1,3
lie,103,73,32,14,20
life,417,313,223,236,257
lifetime,20,2,7,3,11
lift,45,5,17,12,21
lifted,37,1,1,3,12
lifting,6,2,1,4,4
light,75,54,18,13,22
like,3082,113,377,111,362
likely,6,10,24,8,15
limb,1,3,1,1,4
limit,3,22,47,15,20
limited,2,29,4,1,6
line,92,75,124,32,63
link,3,2,2,2,3
list,77,5,9,3,5
listen,110,9,10,10,17
listened,28,6,2,2,1
listening,19,1,3,6,12
little,644,121,113,21,60
live,114,45,64,59,103
lived,21,22,26,6,17
living,55,37,48,19,54
load,9,1,1,1,3
loan,18,3,10,18,37
local,89,14,37,51,32
lock,22,1,3,1,4
long,481,185,174,72,155
longer,212,102,44,25,50
longstanding,1,1,6,1,3
look,1340,73,414,46,131
looked,158,88,28,4,11
looking,290,13,67,8,47
lose,243,20,23,7,47
losing,101,14,28,8,17
loss,25,25,32,11,15
lost,301,71,84,32,72
lot,1638,23,307,45,117
love,943,41,51,27,81
loved,60,6,32,13,23
loving,5,1,1,3,2
low,125,13,32,10,12
lower,62,36,67,9,37
lowered,9,4,2,2,1
lowering,2,2,10,1,4
lowest,68,8,11,1,10
loyal,33,12,2,1,2
loyalty,14,12,2,1,4
luther,5,1,5,1,6
lying,20,13,5,1,3
mad,4,2,4,3,1
made,798,288,237,78,212
main,37,28,5,6,10
maintain,15,33,16,3,15
major,66,3,106,26,21
majority,45,80,50,12,30
make,1109,257,538,228,567
maker,4,1,3,1,2
making,144,61,222,50,129
man,539,264,66,35,71
manage,8,2,6,1,8
managed,1,6,4,1,2
management,10,8,11,8,3
mandate,92,2,13,5,3
manner,7,66,1,3,5
manufacturer,23,1,12,1,13
manufacturing,51,1,23,2,34
many,1385,190,275,188,277
march,5,25,19,8,20
mark,111,15,12,3,13
marked,1,7,3,4,2
market,101,7,39,66,101
marriage,2,19,6,19,11
martin,5,2,8,3,14
mass,45,287,7,52,22
master,11,59,4,2,4
mate,1,9,2,2,1
material,28,63,16,19,16
matter,138,168,120,25,84
max,25,2,1,2,4
may,186,411,132,66,164
maybe,324,2,41,3,26
mayor,71,2,46,9,20
mean,719,301,312,45,149
meaning,33,44,6,6,12
meant,74,58,19,5,19
meantime,14,2,22,1,5
meanwhile,12,8,2,1,19
measure,15,102,37,24,35
medal,11,1,11,1,1
medical,43,5,24,52,28
medicine,26,1,12,31,9
medium,265,8,8,3,9
meet,77,23,64,60,106
meeting,58,211,53,16,30
member,114,172,115,95,85
memorial,6,2,13,3,3
memory,12,35,12,4,19
men,131,279,53,112,122
mental,79,41,23,1,8
mentioned,35,30,12,3,6
mercy,3,4,6,9,2
merely,5,108,1,2,7
mess,85,1,4,2,4
message,29,8,34,28,28
met,78,12,58,26,35
method,3,67,1,14,1
mexico,348,1,5,8,7
middle,162,21,122,100,107
midst,2,9,8,3,12
might,93,213,32,22,73
military,530,132,108,108,101
million,1036,87,335,111,201
mind,91,153,35,14,39
mine,142,5,19,1,8
minimum,25,3,21,1,28
minister,28,11,22,13,11
minority,2,7,15,11,16
minute,169,19,20,8,9
miracle,29,8,1,3,1
miss,18,1,5,4,1
missed,19,3,4,1,2
missing,18,2,6,2,1
mission,32,39,51,48,54
mistake,59,46,13,17,24
misunderstanding,9,3,3,1,1
mix,3,4,2,1,4
moderate,4,5,7,4,2
modern,13,27,13,11,7
moment,55,132,110,44,65
momentum,8,1,5,9,12
money,636,27,101,59,95
month,457,24,239,54,132
moral,3,83,12,29,22
morning,129,22,35,21,11
mostly,39,20,5,2,5
mother,45,25,34,17,37
motion,5,5,3,1,1
mountain,17,2,7,4,8
move,97,13,108,35,84
moved,55,16,40,5,15
movement,231,558,18,17,19
much,1776,166,249,73,179
murderer,43,1,2,4,5
must,312,698,87,293,340
name,326,58,44,10,14
named,83,2,16,8,12
nation,951,576,347,405,397
national,140,484,93,78,68
native,3,16,20,1,10
natural,32,76,9,9,24
nature,7,141,12,13,14
naval,1,12,2,2,1
navy,8,9,2,6,3
near,43,7,22,6,9
nearly,71,26,83,40,82
necessary,33,232,23,39,46
necessity,1,56,3,1,8
need,515,84,389,180,365
needed,68,26,47,24,26
needle,5,1,2,7,2
negative,19,16,7,1,3
negotiate,29,1,26,1,6
negotiation,27,5,15,3,19
nervous,4,5,1,1,1
nest,15,1,1,4,2
net,6,3,10,2,7
never,2218,273,187,77,151
new,934,362,380,315,507
newly,2,7,2,3,1
news,417,9,39,11,27
newspaper,23,43,2,1,3
next,325,23,140,53,182
night,223,19,41,18,32
nightmare,34,1,2,2,1
nine,99,5,13,5,10
noble,9,11,2,15,3
nobody,931,52,19,3,15
none,85,16,35,7,28
normal,29,6,6,7,1
north,243,14,13,16,40
note,3,6,8,2,4
nothing,482,149,76,20,56
notice,64,14,9,6,2
noticed,21,5,7,1,4
november,187,41,7,4,4
number,1089,125,201,41,62
nurse,6,1,19,5,9
oath,11,1,9,6,12
objective,2,53,6,10,9
obligation,4,29,40,11,32
obstacle,3,18,5,2,5
obviously,23,10,4,7,11
occasion,13,46,4,1,5
occupy,2,6,3,1,3
occur,4,3,7,2,1
occurred,2,6,13,2,1
offensive,8,24,2,12,6
offer,10,28,16,31,52
offering,1,6,2,4,10
office,309,30,98,29,89
officer,68,21,71,17,17
official,48,79,33,30,20
often,38,136,24,18,52
oh,634,2,28,4,2
old,143,175,65,15,61
older,9,7,17,7,3
one,2834,868,735,228,531
onto,38,1,9,2,6
open,240,50,59,27,77
opened,50,14,7,6,15
opening,27,4,8,4,8
openly,14,28,2,2,5
operate,3,4,7,5,7
operation,43,13,39,38,12
opinion,77,136,5,4,16
opportunity,31,31,85,64,154
oppose,13,23,5,13,6
opposed,28,40,5,9,7
opposing,25,7,1,1,1
opposite,77,20,5,2,4
opposition,11,38,4,2,13
oppression,3,21,5,9,5
order,196,211,51,34,44
ordered,6,9,11,5,14
orderly,1,2,1,5,2
organization,35,1,33,22,21
organized,6,1,6,2,6
others,169,104,69,50,73
otherwise,35,47,3,3,6
ought,18,98,5,3,6
outcome,6,27,7,11,20
outline,2,5,2,5,2
outrage,1,6,1,2,2
outside,122,38,23,9,14
outstanding,26,16,7,1,15
overcome,2,35,4,12,14
overnight,3,1,3,5,10
overwhelming,9,10,13,1,13
owe,8,10,37,11,10
owes,2,13,4,2,1
owned,8,1,4,1,3
owner,16,1,2,7,31
ownership,2,2,2,9,3
pace,3,4,18,3,18
pacific,6,1,7,2,6
page,27,4,8,2,10
paid,155,19,83,7,45
pain,15,9,24,5,20
painful,8,1,8,3,12
paper,108,33,5,1,6
parade,6,6,1,1,2
parent,105,15,123,29,72
paris,15,9,11,2,2
parliament,4,54,1,7,5
part,162,221,149,62,179
participate,5,11,2,5,10
participation,1,3,2,7,6
particular,57,59,10,5,17
particularly,7,47,30,6,22
partisan,15,2,12,6,18
partner,7,4,75,20,51
party,321,401,37,41,120
pas,68,14,83,43,68
passage,1,3,5,3,1
passed,93,39,87,45,52
passing,8,10,14,12,13
passion,9,11,6,1,23
past,64,85,90,39,120
pastor,11,3,1,2,4
path,15,12,34,48,57
patient,36,4,27,18,15
patriot,247,8,12,7,8
patriotism,3,13,2,1,11
patrol,92,2,4,28,6
paul,39,1,6,4,5
pay,342,28,210,39,133
paying,144,4,91,4,37
peace,104,67,32,138,155
peaceful,8,16,7,26,35
peacefully,8,4,4,3,9
penalty,104,4,6,8,8
penny,64,6,36,1,5
pension,17,4,3,6,7
people,4772,985,1015,503,947
per,23,11,40,4,9
percent,50,1,8,31,99
perfect,101,5,8,5,24
performed,1,7,2,1,2
performing,1,5,1,6,2
perhaps,85,27,4,2,18
peril,2,7,2,7,10
period,150,79,27,15,19
permanent,8,16,7,17,11
permanently,6,11,4,7,2
permit,2,11,1,7,4
persecution,39,10,1,2,4
perseverance,1,11,1,2,2
person,411,124,55,24,34
personal,21,66,32,18,12
personally,21,20,12,3,6
phase,8,13,3,6,2
phrase,34,18,11,1,1
physical,14,62,21,5,2
physically,14,16,5,1,1
picked,27,1,3,1,3
picture,53,36,6,6,7
piece,62,30,58,10,9
pilot,31,1,2,2,3
place,621,210,145,80,178
placed,4,28,4,6,6
placing,1,7,3,2,1
plain,9,2,3,2,6
plan,91,44,252,93,175
plane,144,9,12,5,8
planet,12,8,10,2,25
planned,6,4,6,5,5
plant,74,2,9,4,22
platform,16,6,1,1,2
play,130,46,19,3,39
played,22,24,6,2,6
player,27,1,6,4,2
playing,36,10,10,8,12
please,335,3,56,11,18
pleased,12,12,15,10,6
pledge,14,4,15,17,14
plenty,47,3,5,1,7
plot,4,1,3,8,9
pocket,5,3,16,1,20
point,361,138,124,32,78
poison,4,31,3,2,5
police,298,23,65,27,20
policy,232,292,42,51,68
political,300,423,35,39,72
politician,207,32,4,5,12
politics,80,51,20,9,93
poll,554,1,12,4,9
poor,47,28,16,13,25
popular,72,31,8,6,7
population,23,78,15,8,7
port,8,2,59,4,3
portion,24,18,9,5,4
pose,3,3,5,3,12
position,63,155,55,13,22
positive,34,25,11,2,7
posse,1,45,3,5,4
possibility,8,51,25,7,10
possible,157,227,52,29,74
possibly,23,14,5,5,2
post,61,13,8,3,5
potential,32,1,22,24,34
poverty,19,9,20,20,55
power,219,296,157,102,160
powerful,173,19,19,9,27
practical,1,111,3,7,14
practice,6,58,15,12,17
praise,3,10,4,2,5
pray,16,5,9,6,8
prayer,14,4,5,12,10
preach,2,1,1,1,1
precious,12,8,3,3,10
pregnancy,1,1,2,1,5
prejudice,1,12,4,1,3
prepare,3,14,19,11,10
prepared,13,26,27,15,19
preparing,2,11,5,5,5
prescription,8,2,43,24,16
presence,1,12,5,4,5
present,5,191,14,5,10
preserve,10,36,9,7,7
preserving,4,12,4,1,2
president,1400,7,339,153,268
press,183,100,38,10,11
pressure,18,10,22,16,18
pretend,19,10,1,1,5
pretending,2,2,1,1,1
pretty,196,1,12,6,24
prevail,6,16,2,9,1
prevent,38,47,36,30,52
prevented,1,11,3,5,5
preventing,3,6,3,8,7
prevention,4,2,7,5,1
previous,17,10,16,2,11
price,245,3,132,17,28
pride,22,18,27,7,17
primarily,4,10,2,1,2
primary,135,15,8,9,1
prime,48,1,18,12,9
principal,6,17,3,6,8
principle,21,267,23,40,59
prior,40,1,7,3,1
priority,24,2,12,25,31
prison,147,5,7,15,11
prisoner,30,1,2,10,5
private,59,17,57,26,43
privilege,15,10,8,8,8
probably,415,31,18,4,16
problem,574,190,62,63,120
proceed,5,3,1,3,4
process,58,92,58,17,54
produce,9,26,18,15,17
produced,26,24,4,5,6
producing,7,8,6,5,1
product,59,43,42,9,35
production,29,22,23,9,11
productive,3,11,12,3,7
profession,1,20,2,2,3
professional,26,12,15,8,11
profit,2,6,19,4,20
profound,5,53,22,4,14
progress,15,59,114,67,128
progressive,5,10,8,1,4
prohibition,1,2,1,1,1
project,14,8,28,10,31
promise,92,14,86,46,116
promised,31,6,19,8,17
promising,12,3,5,7,4
promote,6,18,9,16,23
promoting,2,8,4,7,7
promotion,1,4,2,1,6
pronounced,1,9,1,1,2
proof,18,42,8,1,7
propaganda,5,166,2,1,3
proper,11,12,1,2,2
properly,35,11,3,2,3
property,17,12,8,7,1
proportion,4,16,3,1,3
proposal,1,9,25,15,52
propose,1,1,10,26,7
proposed,5,5,20,9,20
prospect,1,23,4,8,13
prosperity,17,11,7,26,70
protect,209,15,145,63,81
protected,26,17,21,10,12
protecting,40,3,27,15,13
protection,49,31,40,12,22
protective,5,5,2,1,1
protects,4,3,5,4,5
protest,26,27,2,1,12
proud,255,12,51,46,40
prove,26,45,7,2,9
proved,9,63,1,2,7
provide,20,20,99,53,67
provided,4,23,29,10,11
provides,2,8,9,9,7
providing,4,10,36,27,23
province,2,17,1,10,1
provision,6,6,4,4,10
public,83,245,101,37,65
publicly,10,8,3,2,7
pull,18,2,15,1,15
pulled,25,3,5,6,6
pump,20,2,12,1,2
purchase,12,2,5,7,5
purchasing,1,1,2,2,1
purpose,27,193,16,31,40
pursue,7,12,8,20,49
pursued,1,14,3,4,4
pursuing,4,4,2,13,7
pursuit,1,4,5,7,21
push,16,9,12,1,17
pushing,57,4,9,1,20
put,835,132,144,36,159
putting,81,23,30,7,24
qualified,17,6,8,2,2
quality,13,82,29,10,25
quarter,26,34,17,2,11
question,230,243,100,44,107
quick,65,3,7,3,6
quickly,209,29,36,20,18
quiet,10,5,2,8,10
quit,16,1,2,1,5
quite,69,125,23,1,2
quote,33,2,49,6,2
race,179,219,26,5,64
racial,23,132,8,2,13
radical,494,18,3,14,3
rage,7,10,2,2,2
raging,12,3,4,3,2
raid,15,1,2,7,1
rail,1,1,47,4,6
raise,88,24,77,14,61
raised,46,28,22,6,15
raising,13,4,28,10,13
rallied,1,2,4,6,3
rally,155,7,4,3,7
ran,145,3,39,2,20
range,1,1,32,4,9
rank,7,47,16,2,2
rapid,29,8,9,2,3
rapidly,31,16,17,1,8
rare,3,16,9,2,2
rate,112,3,97,14,67
rather,59,194,19,5,34
ray,2,4,2,2,1
rd,48,2,9,1,1
reach,15,34,40,26,75
reached,26,38,15,7,10
reaching,4,7,3,2,16
read,104,53,27,14,17
readiness,1,15,1,1,1
reading,31,24,3,13,8
ready,109,64,40,14,18
real,232,123,124,17,55
realistic,1,3,4,2,3
reality,3,73,14,10,18
really,1110,97,153,13,34
reason,317,230,104,18,74
reasonable,7,7,2,4,5
recall,1,10,4,1,5
receive,11,12,13,17,21
received,37,51,14,13,12
receiving,6,3,4,3,1
recent,39,6,17,16,19
recently,65,5,14,10,14
recommendation,6,2,4,10,2
recommended,1,7,5,2,1
reconciliation,5,1,5,7,6
record,457,3,74,19,25
recover,6,3,16,6,15
recovered,5,3,1,1,5
recovery,7,6,53,14,47
recruit,2,16,1,7,7
red,60,50,24,6,16
reduce,17,2,64,21,53
reduced,14,7,14,3,8
reducing,9,3,19,7,16
reform,54,17,10,109,191
refuse,47,12,9,5,21
refused,29,15,8,4,8
regain,2,4,2,2,2
regard,10,105,15,2,5
regardless,5,6,6,2,16
regime,10,37,1,111,30
region,9,13,32,62,81
regional,1,3,6,4,9
register,12,2,4,1,1
regulation,133,4,1,9,26
reign,19,5,2,1,1
reinforcement,2,4,1,4,2
reject,11,9,5,9,26
rejected,28,12,4,1,11
related,10,1,8,2,3
relation,7,42,7,5,17
relationship,93,6,11,5,21
relative,8,4,16,3,2
release,101,2,10,6,6
relentless,3,1,3,3,7
reliable,2,4,2,7,2
reliance,11,1,2,1,1
relief,13,6,17,51,12
religion,20,37,4,7,31
religious,51,84,6,21,14
rely,10,1,4,2,9
remain,89,64,22,18,38
remained,2,52,3,1,2
remaining,7,5,7,4,3
remains,14,28,15,16,29
remark,3,12,5,2,9
remarkable,1,5,3,1,9
remember,691,27,103,22,42
remembered,7,15,3,4,4
remind,3,6,13,11,17
reminded,3,3,6,4,13
removal,10,4,1,2,1
remove,18,6,5,6,12
removing,8,7,3,3,4
renewed,2,5,4,8,8
rent,4,1,7,2,1
repair,4,5,11,2,9
repeat,19,10,8,2,15
repeatedly,13,5,6,1,4
replace,12,6,6,7,14
report,118,10,33,24,14
reported,45,3,10,3,2
reporter,20,1,5,2,1
represent,22,15,8,9,12
representative,58,75,30,18,22
represented,24,26,7,4,6
representing,23,8,9,1,1
represents,11,22,6,3,9
repression,2,2,2,6,8
republic,31,52,6,5,6
republican,613,8,140,17,168
request,22,3,10,5,5
require,17,4,40,30,44
required,11,9,18,13,18
requirement,7,3,73,3,2
requires,4,3,13,36,29
rescue,23,2,61,13,7
rescued,2,2,1,4,4
reserve,24,11,28,6,5
resolute,4,12,2,4,1
resolution,1,12,5,25,12
resolve,6,4,8,32,30
resource,23,16,41,28,43
respect,207,41,49,44,58
respected,251,4,3,4,8
respond,1,1,37,8,19
responded,3,1,3,7,5
response,9,6,44,22,13
responsibility,3,73,30,73,137
responsible,21,55,17,21,37
rest,68,47,69,13,35
restaurant,6,5,16,1,2
restoration,2,15,5,1,4
restore,131,13,24,3,31
restored,16,10,3,1,4
restoring,7,5,6,1,5
restriction,9,4,6,3,2
result,97,246,48,47,39
resulted,1,27,3,1,1
resume,5,7,3,1,2
retail,2,1,1,2,2
retired,4,4,3,3,3
retreat,6,3,2,14,2
return,32,21,24,41,25
returned,10,15,2,6,3
returning,19,2,1,4,3
revenue,9,1,7,6,12
reverse,17,12,1,2,12
review,12,2,9,10,8
reviewed,2,1,2,4,1
revolution,6,122,2,5,25
rhetoric,2,2,1,3,3
rich,92,5,3,2,17
rid,154,4,8,5,7
right,2483,222,436,125,520
rigorous,3,4,4,3,5
rise,7,35,18,24,22
rising,22,7,28,14,27
risk,17,27,85,23,50
risked,5,2,5,2,1
risking,2,1,3,2,2
river,12,4,12,3,4
road,39,34,94,16,47
robust,2,8,3,1,2
rock,17,4,6,1,5
role,13,13,16,16,37
room,201,21,88,13,21
root,9,19,3,7,13
rose,6,1,3,10,3
roughly,1,2,9,2,5
round,12,20,3,2,9
route,14,9,5,2,3
row,54,3,2,1,2
ruin,27,27,4,7,6
rule,74,32,44,27,100
run,402,43,27,25,33
running,305,3,34,12,13
rural,3,1,14,2,16
rushed,3,3,1,1,3
russia,693,60,73,6,16
russian,40,24,32,1,7
s,1,3,13,15,10
sacred,24,34,33,3,14
sacrifice,8,84,8,29,34
sacrificed,2,17,8,2,7
sacrificing,8,4,1,2,2
sadly,23,2,5,1,4
safe,152,4,76,32,47
safeguard,3,17,4,5,7
safely,9,4,13,2,10
safer,19,1,25,21,18
safety,48,3,40,19,29
said,4010,73,391,56,170
sailor,1,1,1,2,1
sake,27,31,11,5,11
sanction,25,4,26,7,22
save,191,19,64,37,55
saved,135,16,7,9,17
saving,42,8,38,26,37
saw,363,38,54,29,40
say,2625,115,345,63,177
saying,443,18,80,13,32
scale,24,30,9,7,8
scar,3,1,2,1,1
scattered,1,2,1,1,1
scene,11,11,4,4,8
scholar,15,1,1,3,1
school,314,77,241,105,152
science,6,20,28,34,55
scientific,3,20,10,9,7
scientist,14,2,26,27,23
scope,2,8,2,2,5
score,5,1,5,4,7
sea,5,9,10,3,3
search,13,5,15,15,7
searching,2,2,1,2,2
seat,66,13,8,1,14
second,315,76,102,39,57
secret,33,33,11,7,12
secretary,87,6,70,49,24
secure,131,23,16,40,56
secured,5,20,7,2,4
securing,1,17,1,9,5
security,177,19,88,231,245
see,1219,106,279,90,205
seed,5,8,1,2,3
seeing,64,22,55,9,22
seek,21,14,20,38,54
seeking,3,5,16,7,13
seem,22,16,9,7,18
seemed,8,84,1,3,1
seems,25,38,12,7,12
seen,587,29,80,48,96
seize,5,2,4,6,14
seized,2,5,1,4,3
self,3,14,5,4,3
sell,61,3,11,6,15
selling,30,2,4,3,5
senate,129,3,104,23,36
send,234,6,43,30,44
sending,75,1,7,3,10
sense,134,86,31,15,85
sensitive,4,2,1,1,1
sent,124,23,13,28,35
separate,12,7,6,1,5
september,5,6,24,52,11
series,9,14,5,9,12
serious,43,42,47,23,40
seriously,32,25,9,4,6
serve,16,81,30,46,49
served,7,25,35,9,35
service,77,113,134,54,50
serving,5,10,15,14,12
session,4,4,5,8,6
set,178,83,52,51,107
setback,1,2,1,3,9
setting,23,8,12,3,8
settlement,9,10,2,1,7
seven,139,19,41,16,15
several,6,45,33,8,24
severe,6,9,23,6,4
shadow,7,3,6,6,23
shake,11,6,2,4,7
shall,3,71,7,1,11
shape,51,20,12,6,30
shaped,4,5,2,5,7
share,22,18,83,39,90
shared,7,3,26,9,30
sharp,13,5,1,1,3
shattered,14,5,2,3,1
sheer,1,22,1,1,3
shelter,4,1,15,9,4
shield,15,4,2,7,5
shift,8,1,7,3,16
